Scenario,Algorithm,Solved,Moves,Expanded_Nodes,Max_Fringe_Size,Time
"[1, 2, 4, 6, 9, 5, 12, 0, 13, 10, 7, 3, 14, 11, 15, 8]",UCS,False,0,515334,488410,10.001229286193848
"[2, 3, 7, 4, 1, 0, 5, 8, 13, 6, 10, 11, 14, 9, 15, 12]",A* (misplacedTiles),True,14,70,76,0.011506319046020508
"[2, 3, 7, 4, 1, 0, 5, 8, 13, 6, 10, 11, 14, 9, 15, 12]",A* (euclideanDistance),True,14,29,34,0.0
"[2, 3, 7, 4, 1, 0, 5, 8, 13, 6, 10, 11, 14, 9, 15, 12]",A* (manhattanDistance),True,14,29,34,0.0032529830932617188
"[2, 3, 7, 4, 1, 0, 5, 8, 13, 6, 10, 11, 14, 9, 15, 12]",A* (rowColumnHeuristic),True,14,30,35,0.001562356948852539
"[2, 3, 7, 4, 1, 0, 5, 8, 13, 6, 10, 11, 14, 9, 15, 12]",A* (linearConflict),True,14,48,54,0.004030466079711914
"[2, 3, 7, 4, 1, 0, 5, 8, 13, 6, 10, 11, 14, 9, 15, 12]",DFS,False,0,17034,16180,10.009683609008789
"[2, 3, 7, 4, 1, 0, 5, 8, 13, 6, 10, 11, 14, 9, 15, 12]",BFS,True,14,83396,81728,0.9420599937438965
"[2, 3, 7, 4, 1, 0, 5, 8, 13, 6, 10, 11, 14, 9, 15, 12]",UCS,True,14,56553,50965,0.8359348773956299
"[1, 2, 7, 3, 9, 5, 4, 8, 13, 10, 0, 6, 14, 15, 11, 12]",A* (misplacedTiles),True,16,319,328,0.005801677703857422
"[1, 2, 7, 3, 9, 5, 4, 8, 13, 10, 0, 6, 14, 15, 11, 12]",A* (euclideanDistance),True,16,49,51,0.0027985572814941406
"[1, 2, 7, 3, 9, 5, 4, 8, 13, 10, 0, 6, 14, 15, 11, 12]",A* (manhattanDistance),True,16,48,50,0.0028095245361328125
"[1, 2, 7, 3, 9, 5, 4, 8, 13, 10, 0, 6, 14, 15, 11, 12]",A* (rowColumnHeuristic),True,16,80,83,0.0043256282806396484
"[1, 2, 7, 3, 9, 5, 4, 8, 13, 10, 0, 6, 14, 15, 11, 12]",A* (linearConflict),True,18,1730,1790,0.08255529403686523
"[1, 2, 7, 3, 9, 5, 4, 8, 13, 10, 0, 6, 14, 15, 11, 12]",DFS,False,0,18643,17703,10.000195264816284
"[1, 2, 7, 3, 9, 5, 4, 8, 13, 10, 0, 6, 14, 15, 11, 12]",BFS,True,16,263335,253615,3.70928692817688
"[1, 2, 7, 3, 9, 5, 4, 8, 13, 10, 0, 6, 14, 15, 11, 12]",UCS,True,16,226764,199812,4.05515193939209
"[1, 2, 0, 3, 5, 6, 8, 4, 14, 15, 10, 12, 9, 13, 11, 7]",A* (misplacedTiles),True,22,14192,14038,0.3011205196380615
"[1, 2, 0, 3, 5, 6, 8, 4, 14, 15, 10, 12, 9, 13, 11, 7]",A* (euclideanDistance),True,22,1524,1512,0.06276249885559082
"[1, 2, 0, 3, 5, 6, 8, 4, 14, 15, 10, 12, 9, 13, 11, 7]",A* (manhattanDistance),True,22,938,902,0.029088258743286133
"[1, 2, 0, 3, 5, 6, 8, 4, 14, 15, 10, 12, 9, 13, 11, 7]",A* (rowColumnHeuristic),True,22,2063,2039,0.06070351600646973
"[1, 2, 0, 3, 5, 6, 8, 4, 14, 15, 10, 12, 9, 13, 11, 7]",A* (linearConflict),True,24,3753,3742,0.1592390537261963
"[1, 2, 0, 3, 5, 6, 8, 4, 14, 15, 10, 12, 9, 13, 11, 7]",DFS,False,0,18301,17386,10.006560325622559
"[1, 2, 0, 3, 5, 6, 8, 4, 14, 15, 10, 12, 9, 13, 11, 7]",BFS,False,0,767131,724864,10.001146078109741
"[1, 2, 0, 3, 5, 6, 8, 4, 14, 15, 10, 12, 9, 13, 11, 7]",UCS,False,0,565455,535335,10.18274450302124
"[1, 6, 2, 7, 9, 5, 8, 4, 13, 11, 0, 3, 14, 10, 15, 12]",A* (misplacedTiles),True,20,2765,2798,0.0526578426361084
